time,RPM,Speed,Load,ThrottlePos,PedalPos,FuelStatus
2024-08-13 19:47:47,854,0,43,6,0,0
2024-08-13 19:47:48,854,0,43,6,0,0
2024-08-13 19:47:49,835,0,43,6,0,2
2024-08-13 19:47:50,835,0,43,6,0,2
2024-08-13 19:47:51,842,0,43,6,0,2
2024-08-13 19:47:53,841,0,43,6,0,2
2024-08-13 19:47:55,839,0,43,6,0,2
2024-08-13 19:47:57,836,0,43,6,0,2
2024-08-13 19:47:59,851,0,43,6,0,2
2024-08-13 19:48:01,847,0,43,6,0,2
2024-08-13 19:48:02,847,0,43,6,0,2
2024-08-13 19:48:03,840,0,43,6,0,2
2024-08-13 19:48:05,849,0,43,6,0,2
2024-08-13 19:48:07,847,0,43,6,0,2
2024-08-13 19:48:09,846,0,43,6,0,2
2024-08-13 19:48:11,855,0,43,6,0,2
2024-08-13 19:48:13,847,0,43,6,0,2
2024-08-13 19:48:15,847,0,43,6,0,2
2024-08-13 19:48:17,843,0,43,6,0,2
2024-08-13 19:48:19,846,0,43,6,0,2
2024-08-13 19:48:21,857,0,43,6,0,2
2024-08-13 19:48:23,845,0,43,6,0,2
2024-08-13 19:48:25,854,0,43,6,0,2
2024-08-13 19:48:27,845,0,42,6,0,2
2024-08-13 19:48:29,849,0,42,6,0,2
2024-08-13 19:48:31,858,0,42,6,0,2
2024-08-13 19:48:33,855,0,43,6,0,2
2024-08-13 19:48:35,853,0,42,6,0,2
2024-08-13 19:48:37,853,0,43,6,0,2
2024-08-13 19:48:39,853,0,42,6,0,2
2024-08-13 19:48:41,849,0,43,6,0,2
2024-08-13 19:48:43,850,0,42,6,0,2
2024-08-13 19:48:45,850,0,42,6,0,2
2024-08-13 19:48:47,835,0,42,6,0,2
2024-08-13 19:48:49,825,0,44,6,0,2
2024-08-13 19:48:51,828,0,45,6,0,2
2024-08-13 19:48:53,841,0,45,6,0,2
2024-08-13 19:48:55,835,0,45,6,0,2
2024-08-13 19:48:57,837,0,45,6,0,2
2024-08-13 19:48:59,834,0,45,6,0,2
2024-08-13 19:49:01,841,0,45,6,0,2
2024-08-13 19:49:03,846,0,45,6,0,2
2024-08-13 19:49:05,840,0,45,6,0,2
2024-08-13 19:49:07,851,0,45,6,0,2
2024-08-13 19:49:09,851,0,45,6,0,2
2024-08-13 19:49:11,847,0,45,6,0,2
2024-08-13 19:49:13,847,0,45,6,0,2
2024-08-13 19:49:15,844,0,45,6,0,2
2024-08-13 19:49:17,852,0,45,6,0,2
2024-08-13 19:49:19,852,0,45,6,0,2
2024-08-13 19:49:21,850,0,45,6,0,2
2024-08-13 19:49:23,851,0,44,6,0,2
2024-08-13 19:49:25,849,0,44,6,0,2
2024-08-13 19:49:27,850,0,45,6,0,2
2024-08-13 19:49:29,855,0,44,6,0,2
2024-08-13 19:49:31,845,0,44,6,0,2
2024-08-13 19:49:33,850,0,44,6,0,2
2024-08-13 19:49:35,842,0,44,6,0,2
2024-08-13 19:49:37,838,0,44,6,0,2
2024-08-13 19:49:39,843,0,44,6,0,2
2024-08-13 19:49:41,849,0,44,6,0,2
2024-08-13 19:49:43,849,0,44,6,0,2
2024-08-13 19:49:45,848,0,44,6,0,2
2024-08-13 19:49:47,844,0,44,6,0,2
2024-08-13 19:49:49,852,0,44,6,0,2
2024-08-13 19:49:51,841,0,44,6,0,2
2024-08-13 19:49:53,841,0,44,6,0,2
2024-08-13 19:49:55,848,0,44,6,0,2
2024-08-13 19:49:57,837,0,45,6,0,2
2024-08-13 19:49:59,809,0,56,6,0,2
2024-08-13 19:50:01,848,0,54,6,0,2
2024-08-13 19:50:03,841,0,54,6,0,2
2024-08-13 19:50:05,845,0,55,6,0,2
2024-08-13 19:50:07,845,0,56,6,0,2
2024-08-13 19:50:09,852,4,56,6,0,2
2024-08-13 19:50:11,864,5,56,6,0,2
2024-08-13 19:50:13,853,4,56,6,0,2
2024-08-13 19:50:15,862,5,56,6,0,2
2024-08-13 19:50:17,937,6,56,6,0,2
2024-08-13 19:50:19,937,6,87,21,18,2
2024-08-13 19:50:21,1816,12,51,13,18,2
2024-08-13 19:50:23,2141,15,41,13,7,2
2024-08-13 19:50:25,2290,17,30,7,0,2
2024-08-13 19:50:27,1434,14,32,7,0,2
2024-08-13 19:50:29,1099,14,48,7,1,2
2024-08-13 19:50:31,1551,16,66,14,9,2
2024-08-13 19:50:33,1652,19,66,14,0,2
2024-08-13 19:50:35,1324,19,32,7,0,2
2024-08-13 19:50:37,1239,19,58,15,10,2
2024-08-13 19:50:39,1739,21,68,16,11,2
2024-08-13 19:50:41,1649,23,28,7,0,2
2024-08-13 19:50:43,1491,21,49,12,0,2
2024-08-13 19:50:45,1655,21,49,11,0,2
2024-08-13 19:50:47,1334,20,31,7,0,2
2024-08-13 19:50:49,1758,20,72,16,12,2
2024-08-13 19:50:51,1415,21,31,7,0,2
2024-08-13 19:50:53,1273,18,33,7,0,2
2024-08-13 19:50:55,1170,16,37,7,0,2
2024-08-13 19:50:57,1707,18,75,17,14,2
2024-08-13 19:50:59,1693,20,62,14,9,2
2024-08-13 19:51:01,1777,20,57,14,9,2
2024-08-13 19:51:03,1926,24,64,16,12,2
2024-08-13 19:51:05,2020,26,60,16,12,2
2024-08-13 19:51:07,1469,26,69,16,12,2
2024-08-13 19:51:09,1308,29,27,8,0,2
2024-08-13 19:51:11,1272,27,25,8,0,2
2024-08-13 19:51:13,1150,25,38,7,0,2
2024-08-13 19:51:15,1107,24,41,7,0,2
2024-08-13 19:51:17,1044,22,42,7,0,2
2024-08-13 19:51:19,1006,20,45,7,0,2
2024-08-13 19:51:21,1264,18,33,7,0,2
2024-08-13 19:51:23,1152,15,36,7,0,2
2024-08-13 19:51:25,1703,16,76,18,14,2
2024-08-13 19:51:27,1782,19,78,18,15,2
2024-08-13 19:51:29,1873,20,83,21,18,2
2024-08-13 19:51:31,1934,21,84,21,20,2
2024-08-13 19:51:33,1947,22,84,22,20,2
2024-08-13 19:51:35,1951,22,84,22,20,2
2024-08-13 19:51:37,1503,21,29,7,0,2
2024-08-13 19:51:39,1598,15,73,16,12,2
2024-08-13 19:51:41,1780,17,67,17,13,2
2024-08-13 19:51:43,1375,18,27,13,10,2
2024-08-13 19:51:45,1306,18,27,7,0,2
2024-08-13 19:51:47,1166,16,29,7,0,2
2024-08-13 19:51:49,1021,15,45,7,0,2
2024-08-13 19:51:51,1006,15,44,7,0,2
2024-08-13 19:51:53,831,10,51,7,0,2
2024-08-13 19:51:55,818,9,51,7,0,2
2024-08-13 19:51:57,899,9,49,7,0,2
2024-08-13 19:51:59,1980,13,43,7,0,2
2024-08-13 19:52:01,1124,14,46,7,0,2
2024-08-13 19:52:03,1075,14,45,7,0,2
2024-08-13 19:52:05,1054,14,45,7,0,2
2024-08-13 19:52:07,1025,13,44,7,0,2
2024-08-13 19:52:09,1635,14,85,21,0,2
2024-08-13 19:52:11,1870,20,84,21,19,2
2024-08-13 19:52:13,1870,24,61,15,19,2
2024-08-13 19:52:15,1487,24,25,7,0,2
2024-08-13 19:52:17,1354,21,27,7,0,2
2024-08-13 19:52:19,1243,19,30,7,0,2
2024-08-13 19:52:21,1121,15,50,11,6,2
2024-08-13 19:52:23,1345,13,50,14,8,2
2024-08-13 19:52:25,1658,9,46,7,0,2
2024-08-13 19:52:27,1604,8,70,14,10,2
2024-08-13 19:52:29,1278,11,33,7,0,2
2024-08-13 19:52:31,1013,13,29,7,0,2
2024-08-13 19:52:33,941,12,29,7,0,2
2024-08-13 19:52:35,907,11,30,7,0,2
2024-08-13 19:52:37,1109,12,67,16,11,2
2024-08-13 19:52:39,1053,15,40,7,0,2
2024-08-13 19:52:41,891,14,45,7,0,2
2024-08-13 19:52:43,831,14,47,7,0,2
2024-08-13 19:52:45,1120,13,62,13,0,2
2024-08-13 19:52:47,1120,16,58,13,8,2
2024-08-13 19:52:49,1522,18,54,12,8,2
2024-08-13 19:52:51,1492,19,48,12,8,2
2024-08-13 19:52:53,1370,20,29,7,0,2
2024-08-13 19:52:55,1204,18,31,7,0,2
2024-08-13 19:52:57,1693,19,72,17,13,2
2024-08-13 19:52:59,1835,23,74,18,14,2
2024-08-13 19:53:01,1550,24,24,7,0,2
2024-08-13 19:53:03,1383,23,26,7,0,2
2024-08-13 19:53:05,1322,19,61,15,0,2
2024-08-13 19:53:07,1446,22,26,15,0,2
2024-08-13 19:53:09,1411,22,18,7,0,2
2024-08-13 19:53:11,1973,24,61,14,0,2
2024-08-13 19:53:13,1319,25,23,14,0,2
2024-08-13 19:53:15,937,19,32,7,0,4
2024-08-13 19:53:17,937,12,47,7,0,4
2024-08-13 19:53:19,823,9,51,7,0,2
2024-08-13 19:53:21,776,4,54,7,0,2
2024-08-13 19:53:23,783,0,54,7,0,2
2024-08-13 19:53:25,773,0,55,7,0,2
2024-08-13 19:53:27,784,0,54,7,0,2
2024-08-13 19:53:29,784,0,54,7,0,2
2024-08-13 19:53:31,777,0,54,7,0,2
2024-08-13 19:53:33,775,0,54,7,0,2
2024-08-13 19:53:35,772,0,54,7,0,2
2024-08-13 19:53:37,775,0,54,7,0,2
2024-08-13 19:53:39,775,0,54,7,0,2
2024-08-13 19:53:41,783,0,54,7,0,2
2024-08-13 19:53:43,774,0,54,7,0,2
2024-08-13 19:53:45,776,0,54,7,0,2
2024-08-13 19:53:47,773,0,54,7,0,2
2024-08-13 19:53:49,768,0,53,7,0,2
2024-08-13 19:53:51,768,0,53,7,0,2
2024-08-13 19:53:53,782,0,52,7,0,2
2024-08-13 19:53:55,775,0,53,7,0,2
2024-08-13 19:53:57,775,0,52,7,0,2
2024-08-13 19:53:59,779,0,53,7,0,2
2024-08-13 19:54:01,781,0,52,7,0,2
2024-08-13 19:54:03,779,0,52,7,0,2
2024-08-13 19:54:05,776,0,53,7,0,2
2024-08-13 19:54:07,770,0,53,7,0,2
2024-08-13 19:54:09,783,0,53,7,0,2
2024-08-13 19:54:11,833,0,53,7,0,2
2024-08-13 19:54:13,853,0,54,7,0,2
2024-08-13 19:54:15,854,0,54,7,0,2
2024-08-13 19:54:17,843,0,53,7,0,2
2024-08-13 19:54:19,849,0,53,7,0,2
2024-08-13 19:54:21,844,0,52,7,0,2
2024-08-13 19:54:23,844,0,45,7,0,2
2024-08-13 19:54:25,859,0,43,7,0,2
2024-08-13 19:54:27,849,0,42,7,0,2
2024-08-13 19:54:29,851,0,42,7,0,2
2024-08-13 19:54:31,843,0,42,7,0,2
2024-08-13 19:54:33,823,0,52,7,0,2
2024-08-13 19:54:35,832,2,43,7,0,2
2024-08-13 19:54:37,2062,11,49,8,1,2
2024-08-13 19:54:39,1728,17,64,16,13,2
2024-08-13 19:54:41,1728,22,74,20,13,2
2024-08-13 19:54:43,1956,23,65,20,14,4
2024-08-13 19:54:45,1864,28,68,18,14,2
2024-08-13 19:54:47,1274,30,23,7,14,2
2024-08-13 19:54:49,1350,30,30,7,0,2
2024-08-13 19:54:51,1752,31,81,19,16,2
